T2ID,T2create_at,text
1313345766661000000,06/10/20 05:10,Allah ya taimaki masoyan musulunci
1313345735950300000,06/10/20 05:09,Allah ya kyauta
1313344212704870000,06/10/20 05:03,Tanemi gafaran Ubangijinmu Allah ya gafarta mana
1313344120744810000,06/10/20 05:03,Yyi kyau
1313343975718290000,06/10/20 05:02,Malama Nusaiba Bala Abdullahi Funtua
1313343640232750000,06/10/20 05:01,Shiga ba biya fitowa se da Allah ya isa
1313343574105350000,06/10/20 05:01,"Lokacin da naji ya kamu na tuna da wani film dana taba gani mai suna , inaga ya"
1313343204993970000,06/10/20 04:59,Futowa sai da Allah ya isa
1313342802307310000,06/10/20 04:58,"Gaskiya dey,Haka ake so"
1313342702524810000,06/10/20 04:57,Allah ya taimaki jagoran talakawa hakika next level ta soma aiki
1313342546991550000,06/10/20 04:57,"Hmm! Saboda Ba'a karbar sisi wurinka sai an sauka, kudin beli yafi kudin mota."
1313342515592990000,06/10/20 04:57,Tofah. Maza na maganah
1313342412920510000,06/10/20 04:56,Malan Albani zaria
1313342299217300000,06/10/20 04:56,"Ya zama Dole yayan manya su kiyaye abun da zai jawo checked kuce a tsakanin Al,umma hakan Shi ya fi dacewa"
1313341819665740000,06/10/20 04:54,Saboda namasu laifi ne Fita da Allah ya isa
1313341209134480000,06/10/20 04:51,"Hhhh, wayace shiga ba biya, AI Duk wanda yashiga Motan yan sanda a Nigeria Yasin sai ya biya."
1313341116922630000,06/10/20 04:51,Wanna kuduri naka bazai samu karbuwaba gaskiyar magana
1313341066762910000,06/10/20 04:51,Hakan yayi daidai
1313341042658340000,06/10/20 04:51,Fita da Allah ya'isa
1313340838827700000,06/10/20 04:50,Baiwar Allah kinema gafarar Allah ba mutane ba sabida muma dukkan mu masu laifi neh. Allah ya yafe mana baki daya. Aminn.
1313340123208190000,06/10/20 04:47,Abinda bansanii ba nan shine malam jamioi koko duka malamai harda na secondaries and primaries
1313339763022350000,06/10/20 04:46,Malaman turanci na Mal Isa Musa
1313339747629180000,06/10/20 04:46,Ai wallashi Ahalin yanzu kokashi kakeyi idan kagadan Najeriya to kazaune Abinka sabida Ayanxu mutane sinkoma sa ido Daminafirci
1313339483027370000,06/10/20 04:45,HAUKA KENAN . ALLAH SWT YA KAWO LAFIYA AMIN
1313338670213150000,06/10/20 04:41,Ashe kuwa za'a yanke hannuwa da yawa indai wannan kudurin ya tabbata
1313338354042250000,06/10/20 04:40,Agurin Allah zatanaimi yafiya domin kuwa shitayiwa laifi ba mutaneba da sharadin cewa bazata sake aikata laifi irin saba.
1313338195459940000,06/10/20 04:40,Muna goyon bayahakan zai rage matsalar.
1313338010734340000,06/10/20 04:39,Allah dai ya tabbatar amma nafi ganin siyasa ce kawai zaayita wasa da hankalin mutane har lokac
1313337031305700000,06/10/20 04:35,"Afuwa wajen mutane? Zuwaga Allah kadai ake tuba, mu tsarkake niyya, mu tuba ga Allah dukkanmu"
1313336945645410000,06/10/20 04:35,Hehehe saikace wani tallen zobo wai kwantai
1313336834693440000,06/10/20 04:34,Masha Allah Allah ya Saka da Alkhairi Baba Dattijon Azziki muna godiya Sosai Baba
1313335763325650000,06/10/20 04:30,Ai da kunya yar musulmi kuma ma yar yar arewa allah ya yafe mata
1313335733231530000,06/10/20 04:30,: Ba cinyaba kafar baya.
1313328376460050000,06/10/20 04:01,"Ba gabatar da kudirin bane wahala, yanke hannun shine wahalar, babban matsalar kasar nan kenan rashin zar"
1313327951098850000,06/10/20 03:59,"Antambayi Aljannu Sunce karya takemusu, kawai tsabagen rashin hankalin matan Hausa-Fulani ne"
1313326155865490000,06/10/20 03:52,Gaskiya bazaii wuce Abu biyunnan ba
1313325504297080000,06/10/20 03:49,Mallam Hassan
